6,6,48
26,26,143
46,46,248
66,66,366
86,86,442
106,106,593
126,126,680
146,146,791
166,166,958
186,186,1087
206,206,1257
226,226,1326
246,246,1544
266,266,1486
286,286,1599
306,306,1786
326,326,1806
346,346,2002
366,366,1945
386,386,2099
406,406,2356
426,426,2278
446,446,2511
466,466,2878
486,486,2973
506,506,2965
526,526,2985
546,546,3141
566,566,3130
586,586,3145
606,606,3404
626,626,3367
646,646,3504
666,666,3851
686,686,3902
706,706,4015
726,726,4258
746,746,4217
766,766,4619
786,786,4292
806,806,4511
826,826,4850
846,846,4832
866,866,4758
886,886,4991
906,906,5199
926,926,5234
946,946,5509
966,966,5401
986,986,5638
